,link,title,price,date,sqfeet,num_images,description,attributes
0,https://provo.craigslist.org/roo/d/orem-mens-master-bedroom-chambery/6923562285.html,Men’s Master Bedroom Chambery townhome near UVU,635,2019-06-30 02:57,0,12,"QR Code Link to This Post


Spacious master bedroom with private bathroom, walk-in closet and new smart 4K flat screen TV in townhome in Chambery Woods in Orem (off Geneva Rd).

Wood floors, washer and dryer, central AC, 
Parking in garage and driveway. Fenced backyard. 

Swimming pool, fitness center, clubhouse and barbecue right across the street. 

12 months lease. Available on August 1st.

Please contact Daniela at  show contact info
 for more info.","townhouse,w/d in unit,no smoking,attached garage,private bath,private room"
1,https://provo.craigslist.org/roo/d/orem-private-bedroom-shared-bathroom-in/6923390120.html,Private Bedroom/ Shared Bathroom in Provo,425,2019-06-29 16:44,0,7,"QR Code Link to This Post


1 private bedroom and shared bathroom in a 2 bedroom house.
Washing machine and dryer on site.
Large living room and backyard.
Plenty of shelves and storage space inside.
Parking space for 1 car.

One-time payments before move-in:
***Deposit: $300
***Last month's rent: $400

Monthly Rent: $425
Monthly Utilities (gas, water, electricity, google fiber): $60-80

Please message me for details.

Cats are welcome!","cats are OK - purrr,furnished,house,laundry in bldg,carport,no private bath,private room"
2,https://provo.craigslist.org/roo/d/eagle-mountain-male-roomates-wanted-in/6923389562.html,Male roomates wanted in Eagle Mt,800,2019-06-29 16:36,1600ft2,6,"QR Code Link to This Post


Must have good credit and pass a back ground check. Awesome home in Eagle Mt. All utilities included..","house,laundry on site,off-street parking,no private bath,private room"
3,https://provo.craigslist.org/roo/d/provo-mens-private-room-in-nice-house/6923328330.html,Men's Private Room in Nice House,400,2019-06-29 15:00,2200ft2,6,"QR Code Link to This Post


Men's Private room in nice house. Recently remodeled so everything is like new inside and out. Current roommates are in their 30's and 40's so this is a clean, quiet, mature environment. $400 per month includes all utilities, TV, and internet. Great location just two blocks east of State Street on the border of Pleasant Grove and Lindon. A must see if you are looking for a room to rent. Call or Text Jim at  show contact info
. Thanks","apartment,w/d in unit,attached garage,no private bath,private room"
4,https://provo.craigslist.org/roo/d/provo-females-large-private-rooms-01/6923220168.html,"females - large private rooms 0.1 miles from BYU, $390 rent",390,2019-06-29 12:43,2500ft2,8,"QR Code Link to This Post


females - large private rooms 0.1 miles from BYU, $390 rent (+$60 utilities) 

Private room for females - Walk to BYU in less than 5 minutes walking. Live in the first story of our house in a larger than average private room with plenty of closet space. Spacious first floor with separate entrance, four bedrooms, two bathrooms, two living rooms, washer, dryer, and fenced-in yard. Four rooms available August 17th. Two rooms have a parking spot and two rooms do not. Last month rent and $450 security deposit ($150 refundable) required to secure a room. Rent is $390 monthly plus $60 for utilities which includes high speed internet but not cable. Option for furnished or unfurnished rooms. We enforce BYU living standards (no drugs, no pornography, and visiting hours for males) but are not BYU approved because we have a shared entryway (but private entrances). BYU undergraduate students just need to sign a BYU waiver and pay a fee of around $20 to live here. Pets compatible with backyard chickens (no roosters = no noise) are welcome with an additional deposit and roommate approval.","cats are OK - purrr,dogs are OK - wooof,furnished,duplex,w/d in unit,no smoking,no parking,no private bath,private room,wheelchair accessible"
5,https://provo.craigslist.org/roo/d/provo-males-large-private-rooms-01/6923030167.html,"Males-large private rooms 0.1 miles from BYU, $165 rent+$60 utilities",165,2019-06-29 09:11,2500ft2,8,"QR Code Link to This Post


Single male housing for someone without a car - Walk to BYU in less than 5 minutes walking. Live in the first story of our house in a larger than average private room with plenty of closet space. Spacious first floor with separate entrance, four bedrooms, two bathrooms, two living rooms, washer, dryer, and fenced-in yard. Off street covered parking available. Room available July 4th and contract through August 16th. City rules say that you cannot own a car and rent in our house.  Last month rent required to secure a room. Rent is $165 monthly plus $60 for utilities which includes high speed internet but not cable. Option for furnished or unfurnished rooms. We enforce BYU living standards (no drugs, no pornography, and visiting hours for females) but are not BYU approved because we have a shared entryway (but private entrances). BYU undergraduate students just need to sign a BYU waiver and pay a fee of around $20 to live here.  Pets compatible with backyard chickens (no roosters = no noise) are welcome with an additional deposit and roommate approval.","apartment,w/d in unit,no smoking,no parking,no private bath,private room,wheelchair accessible"
6,https://provo.craigslist.org/roo/d/orem-room-for-rent/6922758946.html,Room for rent,670,2019-06-28 18:42,0,3,"QR Code Link to This Post


Private room for rent right on state street. Caged pets allowed. Dogs and cats allowed but will need to pay pet deposit and fee. Looking to fill the room with one female roommate. Cable and internet already set up in apartment. Price includes utilities, cable, and internet. I work from home during the day so just would need it quiet during those times. I don't care outside of those times though. I'm pretty laid back and quiet. I like art and cats. If interested message me and we can meet.","cats are OK - purrr,dogs are OK - wooof,apartment,w/d in unit,off-street parking,no private bath,private room"
7,https://provo.craigslist.org/roo/d/orem-womans-private-room-country-woods/6922465887.html,Woman’s private room Country Woods condo near UVU,495,2019-06-28 12:18,1275ft2,10,"QR Code Link to This Post


Very quiet 1st floor 3 bedroom 2 bathroom condo in Country Woods, Orem. 2 min from UVU, I-15, Walmart and everything else. 

Furnished living room, 55"" smart TV, leather couches, wood floors, Washer & Dryer Included, Cable TV, Covered Parking. 

Outdoor storage, Outdoor Basketball Court, Clubhouse with Fitness Room,, Outside BBQ Area, Kids Playground Area.

Woman’s private room, closet, new smart TV 4K in bedroom, shared bathroom. $495/month

Master bedroom, walk in closet, private bathroom, new smart TV 4K in bedroom. $615/month

Please contact Daniela at  show contact info
 for more information.","condo,laundry on site,no smoking,carport,no private bath,private room"
8,https://provo.craigslist.org/roo/d/provo-bedroom-shared-bath-month-to/6902039642.html,Bedroom w/ Shared Bath Month to Month LDS Standards Male,350,2019-06-28 11:51,0,7,"QR Code Link to This Post


Looking for a CLEAN male with LDS standards.  Current roommates are all male between the age of 24 and 41. 

Must have LDS standards. Absolutely no smoking, drinking or bringing anything in the house that remotely smells like mmj or incense. Would prefer someone with an active temple recommend. 

The house has a very well behavied female bulldog who never barks. I plan to get rid of her in January.      

Rent is $350 and Utilities are a flat $75 per month. 

Deposit is only $150 ($50 is considered an application fee so $100 is refundable)  So you can move in with $575. 

Utilities include: Water, Electricity, WIFI Internet, Trash, (there is a community TV with Netflix and some basic channels) However, all the other current roommates have  TV in their room.","house,w/d in unit,no smoking,off-street parking,private bath,private room"
9,https://provo.craigslist.org/roo/d/provo-byu-uvu-starting-fall-semester/6911239428.html,BYU/UVU Starting FALL SEMESTER Female Private Room 2 Blocks To BYU!,425,2019-06-28 10:31,1100ft2,16,"QR Code Link to This Post


Devonshire:
Fall Semester!  ONE SPACE LEFT!!  Women Spaces Available! Private room just 2 blocks from BYU Campus!  Leather Sofas, Huge Living room, Large Kitchen, Dishwasher, AC, 2 full bathrooms, FREE Google Fiber Internet.  Building is BYU approved for Men and Women, great social scene, almost 100 students in complex!  Covered parking, washer/dryer in apartment!  Right on UVX Bus, can take you to UVU, or just about anywhere you want to go!  1 block to Provo City Library!  Call us to set up a tour.  Check out more photos, make application, and see current availability at www.CougarRentals.com

We have over 50 different BYU condos to choose from!  Townhomes, Shared rooms, private rooms, Men's & Women's housing, rents from $315 to $450/mon!  Now selling starting Fall Semester!    Check out photos and other information at www.CougarRentals.com.  Call us anytime with questions or to set up appointments to see the properties   No parking fees, No Application Fees!","furnished,apartment,w/d in unit,no smoking,off-street parking,no private bath,private room"
10,https://provo.craigslist.org/roo/d/provo-byu-uvu-statrting-fall-female/6922357142.html,BYU/UVU Statrting FALL Female Private Room Walk To BYU!  Only $389!,389,2019-06-28 10:25,1200ft2,11,"QR Code Link to This Post


Starting Fall Semester!  ONE SPACE LEFT,  Only the Private Room is left!  BYU Approved Female Housing, UVU and other students are welcome, but BYU rules and standards apply.   Private room just $389/month! Washer/Dryer in laundry room, Tile floors, central air, Google Fiber Internet, 1 block to UVX High Speed Bus to BYU & UVU, 5 Blocks to BYU (About a 7 min walk), 2 Blocks to Smiths Grocery Store, Top Floor, Lots Of FREE Parking!  See photos and make application on-line at www.CougarRentals.com or call us today!
We have over 50 different BYU condos to choose from!  Townhomes, Shared rooms, private rooms, Men's & Women's housing, rents from $315 to $450/mon!  Now selling starting Fall Semester!  We also have limited spring/summer spaces available!  Check out photos and other information at www.CougarRentals.com.  Call us anytime with questions or to set up appointments to see the properties.  No parking fees, No Application Fees!","furnished,apartment,w/d in unit,no smoking,off-street parking,no private bath,private room"
